__time,/camera/pose/header/seq,/camera/pose/header/stamp,/camera/pose/pose/orientation/pitch_deg,/camera/pose/pose/orientation/roll_deg,/camera/pose/pose/orientation/w,/camera/pose/pose/orientation/x,/camera/pose/pose/orientation/y,/camera/pose/pose/orientation/yaw_deg,/camera/pose/pose/orientation/z,/camera/pose/pose/position/x,/camera/pose/pose/position/y,/camera/pose/pose/position/z
1617333602.216452,20099.000000000,1617333602.216084242,-0.086570716,-1.522560548,0.999910653,-0.013287409,-0.000738397,-0.146689405,-0.001290030,0.002072847,-0.000193377,-0.001191980
1617333602.221436,20100.000000000,1617333602.221049547,-0.082842440,-1.522709186,0.999910653,-0.013288666,-0.000705831,-0.146960518,-0.001291965,0.002086656,-0.000195095,-0.001187908
1617333602.226611,20101.000000000,1617333602.226184368,-0.078373307,-1.521995729,0.999910772,-0.013282399,-0.000666701,-0.148178264,-0.001302068,0.002093836,-0.000199456,-0.001185421
1617333602.231626,20102.000000000,1617333602.231170893,-0.072411210,-1.521444056,0.999910891,-0.013277504,-0.000614991,-0.145520790,-0.001278186,0.002114719,-0.000203010,-0.001182789
1617333602.236468,20103.000000000,1617333602.236061573,-0.067980904,-1.521509372,0.999910891,-0.013278032,-0.000576172,-0.146896424,-0.001289676,0.002136956,-0.000207033,-0.001180842
1617333602.241415,20104.000000000,1617333602.241071939,-0.063909719,-1.522480179,0.999910772,-0.013286447,-0.000540876,-0.144828306,-0.001271163,0.002049494,-0.000200934,-0.001187900
1617333602.246428,20105.000000000,1617333602.246049881,-0.057949501,-1.520883136,0.999911010,-0.013272447,-0.000488885,-0.144840097,-0.001270568,0.002053932,-0.000203153,-0.001185695
1617333602.251544,20106.000000000,1617333602.251103640,-0.050411365,-1.522180914,0.999910951,-0.013283690,-0.000423075,-0.145003841,-0.001271129,0.002058834,-0.000205421,-0.001185180
1617333602.256625,20107.000000000,1617333602.256245852,-0.043495732,-1.521785728,0.999911010,-0.013280167,-0.000362655,-0.145689236,-0.001276307,0.002059709,-0.000207896,-0.001192537
1617333602.261738,20108.000000000,1617333602.261305571,-0.036738570,-1.522808160,0.999910831,-0.013289018,-0.000303493,-0.147307531,-0.001289647,0.002061054,-0.000210130,-0.001193356
1617333602.266523,20109.000000000,1617333602.266195536,-0.029661918,-1.521623220,0.999911010,-0.013278600,-0.000241721,-0.147616881,-0.001291523,0.002059853,-0.000212336,-0.001193534
1617333602.271871,20110.000000000,1617333602.271081686,-0.022000152,-1.522135585,0.999910951,-0.013282988,-0.000174603,-0.149829916,-0.001309947,0.002054224,-0.000212491,-0.001181415
1617333602.276542,20111.000000000,1617333602.276092529,-0.016696559,-1.520365519,0.999911189,-0.013267480,-0.000128613,-0.147514592,-0.001289127,0.001967389,-0.000187740,-0.001246922
1617333602.281465,20112.000000000,1617333602.281099796,-0.008117490,-1.520080442,0.999911249,-0.013264896,-0.000053739,-0.147664883,-0.001289445,0.001965976,-0.000184796,-0.001246073
1617333602.286569,20113.000000000,1617333602.286189318,-0.001271403,-1.519721265,0.999911308,-0.013261685,0.000005622,-0.144440020,-0.001260513,0.001971042,-0.000181327,-0.001242981
1617333602.291618,20114.000000000,1617333602.291088581,0.005249451,-1.520954317,0.999911129,-0.013272372,0.000062627,-0.145228998,-0.001266642,0.001970458,-0.000177327,-0.001236886
1617333602.296728,20115.000000000,1617333602.296348810,0.011434858,-1.520020094,0.999911249,-0.013264151,0.000116671,-0.145929082,-0.001272036,0.001970215,-0.000172779,-0.001227839
1617333602.301561,20116.000000000,1617333602.301187754,0.017022570,-1.520406201,0.999911189,-0.013267456,0.000165655,-0.147845543,-0.001288111,0.001960142,-0.000165936,-0.001214087
1617333602.306540,20117.000000000,1617333602.306201935,0.022729826,-1.520026693,0.999911189,-0.013264081,0.000215304,-0.146574117,-0.001276357,0.001954423,-0.000158866,-0.001200387
1617333602.311662,20118.000000000,1617333602.311194658,0.025842600,-1.519515056,0.999911308,-0.013259582,0.000242506,-0.146971905,-0.001279468,0.001826331,-0.000166313,-0.001161072
1617333602.316599,20119.000000000,1617333602.316200495,0.031380970,-1.518245035,0.999911368,-0.013248438,0.000290771,-0.146560114,-0.001275237,0.001806162,-0.000161024,-0.001142356
1617333602.321740,20120.000000000,1617333602.321322203,0.037895827,-1.518837936,0.999911308,-0.013253540,0.000347594,-0.146281834,-0.001272054,0.001784675,-0.000153845,-0.001121019
1617333602.326701,20121.000000000,1617333602.326184511,0.042528238,-1.518469448,0.999911308,-0.013250271,0.000388061,-0.146710082,-0.001275256,0.001763532,-0.000146153,-0.001098459
1617333602.331736,20122.000000000,1617333602.331199169,0.048817077,-1.518613980,0.999911308,-0.013251466,0.000442821,-0.145696822,-0.001265687,0.001744008,-0.000139581,-0.001072660
1617333602.336887,20123.000000000,1617333602.336227179,0.055433754,-1.518756829,0.999911249,-0.013252643,0.000500430,-0.144582026,-0.001255194,0.001721656,-0.000132274,-0.001046085
1617333602.341773,20124.000000000,1617333602.341191530,0.059845411,-1.514107156,0.999911785,-0.013212030,0.000538674,-0.142842353,-0.001239525,0.001815697,-0.000179617,-0.001123302
1617333602.347005,20125.000000000,1617333602.346218586,0.064130761,-1.514418880,0.999911785,-0.013214706,0.000576007,-0.142290253,-0.001234212,0.001796750,-0.000178076,-0.001102108
1617333602.352075,20126.000000000,1617333602.351206064,0.068462015,-1.515531079,0.999911606,-0.013224361,0.000613863,-0.142727483,-0.001237522,0.001770761,-0.000176618,-0.001083844
1617333602.356819,20127.000000000,1617333602.356210470,0.070965979,-1.516095033,0.999911547,-0.013229258,0.000635654,-0.142164106,-0.001232313,0.001747720,-0.000175090,-0.001062196
1617333602.362160,20128.000000000,1617333602.361465216,0.074110594,-1.514816380,0.999911666,-0.013218069,0.000663021,-0.141653923,-0.001227506,0.001722755,-0.000173544,-0.001038202
1617333602.367207,20129.000000000,1617333602.366326094,0.077325645,-1.515104821,0.999911666,-0.013220550,0.000691128,-0.142084788,-0.001230893,0.001697573,-0.000171937,-0.001009110
1617333602.371922,20130.000000000,1617333602.371301651,0.082183189,-1.515277141,0.999911606,-0.013222001,0.000733490,-0.141864311,-0.001228408,0.001671241,-0.000170371,-0.000978877
1617333602.376868,20131.000000000,1617333602.376255512,0.083943585,-1.511762821,0.999911964,-0.013191310,0.000748932,-0.142892039,-0.001237195,0.001812840,-0.000186263,-0.001116602
1617333602.381794,20132.000000000,1617333602.381209373,0.088400476,-1.511784560,0.999911964,-0.013191462,0.000787642,-0.141320409,-0.001222968,0.001815679,-0.000186384,-0.001099577
