__time,/orientation/angular_velocity/x,/orientation/angular_velocity/y,/orientation/angular_velocity/z,/orientation/angular_velocity_covariance[0;0],/orientation/angular_velocity_covariance[0;1],/orientation/angular_velocity_covariance[0;2],/orientation/angular_velocity_covariance[1;1],/orientation/angular_velocity_covariance[1;2],/orientation/angular_velocity_covariance[2;2],/orientation/header/seq,/orientation/header/stamp,/orientation/linear_acceleration/x,/orientation/linear_acceleration/y,/orientation/linear_acceleration/z,/orientation/linear_acceleration_covariance[0;0],/orientation/linear_acceleration_covariance[0;1],/orientation/linear_acceleration_covariance[0;2],/orientation/linear_acceleration_covariance[1;1],/orientation/linear_acceleration_covariance[1;2],/orientation/linear_acceleration_covariance[2;2],/orientation/orientation/pitch_deg,/orientation/orientation/roll_deg,/orientation/orientation/w,/orientation/orientation/x,/orientation/orientation/y,/orientation/orientation/yaw_deg,/orientation/orientation/z,/orientation/orientation_covariance[0;0],/orientation/orientation_covariance[0;1],/orientation/orientation_covariance[0;2],/orientation/orientation_covariance[1;1],/orientation/orientation_covariance[1;2],/orientation/orientation_covariance[2;2]
1617333602.224140,0.006761812,0.003793880,0.000172962,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13710.000000000,1617333602.223639727,-0.027200000,-0.038794998,-1.005095005,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.433920654,-175.205473134,0.041742377,-0.999024630,-0.005966913,0.744450944,0.012773436,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.232064,0.007699171,0.000389965,0.000987507,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13711.000000000,1617333602.231675863,-0.025404999,-0.039445002,-1.003684998,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.434056897,-175.201958239,0.041773062,-0.999023318,-0.005962410,0.743985128,0.012774637,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.240063,0.010227222,0.004201182,0.000692081,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13712.000000000,1617333602.239636898,-0.025629999,-0.040739998,-1.001819968,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.432801020,-175.197328623,0.041813552,-0.999021769,-0.005958233,0.743512458,0.012763756,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.248125,0.016783493,0.008361057,-0.001372585,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13713.000000000,1617333602.247637033,-0.026035000,-0.041104998,-1.003839970,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.430033092,-175.189666407,0.041880488,-0.999019265,-0.005961047,0.743816635,0.012740135,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.256251,0.008352390,0.004552691,-0.002192366,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13714.000000000,1617333602.255641937,-0.024110001,-0.042914998,-1.000329971,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.426887288,-175.185835988,0.041913982,-0.999018133,-0.005968945,0.744638898,0.012713210,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.264090,0.025548885,0.011683349,0.005589649,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13715.000000000,1617333602.263636827,-0.023040000,-0.043945000,-1.001969934,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.419655850,-175.174262288,0.042015657,-0.999014854,-0.005944275,0.741651122,0.012649674,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.272285,0.025654534,0.002850704,0.002510889,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13716.000000000,1617333602.271658897,-0.022240000,-0.045779999,-0.999984980,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.415517937,-175.162563664,0.042118035,-0.999011040,-0.005933577,0.740397030,0.012613745,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.280094,0.024248324,-0.002539570,0.000797615,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13717.000000000,1617333602.279659986,-0.025295001,-0.046920002,-1.001814961,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.417237799,-175.151530367,0.042214148,-0.999006808,-0.005929422,0.740132630,0.012629213,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.288102,0.021910513,0.001321622,0.002086774,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13718.000000000,1617333602.287637711,-0.022545001,-0.048064999,-1.001889944,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.414114950,-175.141587909,0.042301126,-0.999003530,-0.005920791,0.739135558,0.012602135,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.296185,0.030335916,-0.001127657,-0.000312298,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13719.000000000,1617333602.295644045,-0.024070000,-0.048750002,-1.002884984,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.413765093,-175.127743026,0.042421829,-0.998998523,-0.005921016,0.739321150,0.012599870,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
