__time,/posePub_merged/header/seq,/posePub_merged/header/stamp,/posePub_merged/pose/orientation/pitch_deg,/posePub_merged/pose/orientation/roll_deg,/posePub_merged/pose/orientation/w,/posePub_merged/pose/orientation/x,/posePub_merged/pose/orientation/y,/posePub_merged/pose/orientation/yaw_deg,/posePub_merged/pose/orientation/z,/posePub_merged/pose/position/x,/posePub_merged/pose/position/y,/posePub_merged/pose/position/z
1617333602.161827,13686.000000000,1617333602.033276320,1.418340949,-175.105908964,0.042611163,-0.998989522,-0.005974657,0.745945470,0.012643351,0.001680735,-0.000588119,0.000000000
1617333602.161860,13687.000000000,1617333602.039616346,1.419739850,-175.113583636,0.042544220,-0.998992324,-0.005971375,0.745531622,0.012654994,0.001678239,-0.000559986,0.000000000
1617333602.161933,13688.000000000,1617333602.047629833,1.424157164,-175.121043987,0.042479072,-0.998994648,-0.005957678,0.744054617,0.012692566,0.001680702,-0.000532559,0.000000000
1617333602.161968,13689.000000000,1617333602.055616140,1.426692695,-175.132452657,0.042379547,-0.998998642,-0.005950923,0.743242763,0.012713777,0.001681395,-0.000490666,0.000000000
1617333602.161987,13690.000000000,1617333602.063614607,1.428593932,-175.144054445,0.042278465,-0.999002814,-0.005937574,0.741644659,0.012729160,0.001681558,-0.000448073,0.000000000
1617333602.162006,13691.000000000,1617333602.071616888,1.429668418,-175.155278241,0.042180263,-0.999006629,-0.005960778,0.744208910,0.012738888,0.001681407,-0.000406871,0.000000000
1617333602.162038,13692.000000000,1617333602.079616308,1.427044176,-175.164510267,0.042100083,-0.999010503,-0.005951854,0.742956409,0.012715071,0.001667977,-0.000373170,0.000000000
1617333602.162061,13693.000000000,1617333602.087636709,1.426204714,-175.173381224,0.042022821,-0.999013782,-0.005951042,0.742715013,0.012707203,0.001664976,-0.000340660,0.000000000
1617333602.162083,13694.000000000,1617333602.095746756,1.425140022,-175.180545780,0.041960351,-0.999016464,-0.005957933,0.743369419,0.012697788,0.001661273,-0.000314384,0.000000000
1617333602.162120,13695.000000000,1617333602.103672981,1.425709448,-175.188264401,0.041892946,-0.999019206,-0.005964851,0.744088782,0.012702614,0.001661268,-0.000286051,0.000000000
1617333602.162141,13696.000000000,1617333602.111621618,1.426774921,-175.192332672,0.041857492,-0.999020576,-0.005958557,0.743359910,0.012711424,0.001665355,-0.000271069,0.000000000
1617333602.162180,13697.000000000,1617333602.119631052,1.423129866,-175.198952956,0.041800041,-0.999023438,-0.005957427,0.742993022,0.012679169,0.001658060,-0.000246828,0.000000000
1617333602.162194,13698.000000000,1617333602.127632141,1.422042530,-175.204413584,0.041752215,-0.999025404,-0.005980901,0.745570595,0.012670345,0.001656695,-0.000226798,0.000000000
1617333602.162233,13699.000000000,1617333602.135737658,1.427219128,-175.212261815,0.041683033,-0.999027491,-0.006014653,0.749559416,0.012716516,0.001670836,-0.000197806,0.000000000
1617333602.162260,13700.000000000,1617333602.143617630,1.424165403,-175.213128659,0.041675575,-0.999028087,-0.006022847,0.750360347,0.012690139,0.001667727,-0.000194659,0.000000000
1617333602.162277,13701.000000000,1617333602.151620865,1.426055126,-175.212399286,0.041681930,-0.999027669,-0.006013175,0.749339330,0.012706281,0.001677094,-0.000197209,0.000000000
1617333602.162289,13702.000000000,1617333602.159639597,1.425399682,-175.212804159,0.041678488,-0.999027908,-0.006009741,0.748912811,0.012700390,0.001677571,-0.000195712,0.000000000
1617333602.168026,13703.000000000,1617333602.167667627,1.425956994,-175.214127412,0.041666981,-0.999028385,-0.006004798,0.748352330,0.012704976,0.001675974,-0.000190873,0.000000000
1617333602.176126,13704.000000000,1617333602.175617933,1.425215468,-175.215176613,0.041657612,-0.999028742,-0.006026316,0.750776184,0.012699338,0.001670688,-0.000187090,0.000000000
1617333602.184119,13705.000000000,1617333602.183613300,1.427757407,-175.217002619,0.041641772,-0.999029219,-0.006006944,0.748637232,0.012720625,0.001673722,-0.000180343,0.000000000
1617333602.192002,13706.000000000,1617333602.191616058,1.428462728,-175.215867825,0.041651778,-0.999028802,-0.005994289,0.747229714,0.012726322,0.001670565,-0.000184544,0.000000000
1617333602.199966,13707.000000000,1617333602.199657440,1.429166898,-175.213443502,0.041672964,-0.999027908,-0.005986503,0.746397011,0.012732285,0.001670436,-0.000193439,0.000000000
